GENE NAME,Enzyme or Protein,GENE NAME/GENE/ENZYME PROTEIN,KO classification,Metabolism/other,Top Pathway
SLIV_23175,Non-canonical purine NTP pyrophosphatase,D      SLIV_23175 Non-canonical purine NTP pyrophosphatase,K01519 rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66],Metabolism,B  09104 Nucleotide metabolism
SLIV_13540,dehydrogenase,D      SLIV_13540 dehydrogenase,K13481 xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_13535,dehydrogenase,D      SLIV_13535 dehydrogenase,K13482 xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_32140,oxidoreductase,D      SLIV_32140 oxidoreductase,K11177 yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_34485,oxidoreductase,D      SLIV_34485 oxidoreductase,K11177 yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_32135,Putative xanthine dehydrogenase FAD-binding,D      SLIV_32135 Putative xanthine dehydrogenase FAD-binding subunit,K11178 yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_34490,Putative xanthine dehydrogenase FAD-binding,D      SLIV_34490 Putative xanthine dehydrogenase FAD-binding subunit,K11178 yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_32130,Putative xanthine dehydrogenase iron-sulfur-,D      SLIV_32130 Putative xanthine dehydrogenase iron-sulfur-binding subunit,K13483 yagT; xanthine dehydrogenase YagT iron-sulfur-binding subunit,Metabolism,B  09104 Nucleotide metabolism
SLIV_34495,"oxidoreductase, iron-sulfur binding subunit","D      SLIV_34495 oxidoreductase, iron-sulfur binding subunit",K13483 yagT; xanthine dehydrogenase YagT iron-sulfur-binding subunit,Metabolism,B  09104 Nucleotide metabolism
SLIV_14440,guaA; GMP synthase [glutamine-hydrolyzing],D      SLIV_14440 guaA; GMP synthase [glutamine-hydrolyzing],K01951 guaA; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2],Metabolism,B  09104 Nucleotide metabolism
SLIV_30460,guaB1; putative oxidoreductase,D      SLIV_30460 guaB1; putative oxidoreductase,K26110 guaB1; GMP reductase [EC:1.7.1.7],Metabolism,B  09104 Nucleotide metabolism
SLIV_13525,deaminase,D      SLIV_13525 deaminase,K01487 guaD; guanine deaminase [EC:3.5.4.3],Metabolism,B  09104 Nucleotide metabolism
SLIV_30375,gmk; Guanylate kinase,D      SLIV_30375 gmk; Guanylate kinase,K00942 gmk; guanylate kinase [EC:2.7.4.8],Metabolism,B  09104 Nucleotide metabolism
SLIV_09590,nrdJ; Vitamin B12-dependent ribonucleotide r,D      SLIV_09590 nrdJ; Vitamin B12-dependent ribonucleotide reductase,K00525 E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],Metabolism,B  09104 Nucleotide metabolism
SLIV_12230,ribonucleotide-diphosphate reductase large c,D      SLIV_12230 ribonucleotide-diphosphate reductase large chain,K00525 E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],Metabolism,B  09104 Nucleotide metabolism
SLIV_12235,"ribonucleoside-diphosphate reductase, beta s","D      SLIV_12235 ribonucleoside-diphosphate reductase, beta subunit",K00526 E1.17.4.1B; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1],Metabolism,B  09104 Nucleotide metabolism
SLIV_25335,Deoxyguanosinetriphosphate triphosphohydrola,D      SLIV_25335 Deoxyguanosinetriphosphate triphosphohydrolase-like protein,K01129 dgt; dGTPase [EC:3.1.5.1],Metabolism,B  09104 Nucleotide metabolism
SLIV_09645,kinase/phosphohydrolase,D      SLIV_09645 kinase/phosphohydrolase,"K01139 spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]",Metabolism,B  09104 Nucleotide metabolism
SLIV_30210,relA; GTP pyrophosphokinase,D      SLIV_30210 relA; GTP pyrophosphokinase,"K01139 spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]",Metabolism,B  09104 Nucleotide metabolism
SLIV_21035,hypothetical protein,D      SLIV_21035 hypothetical protein,"K01524 ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]",Metabolism,B  09104 Nucleotide metabolism
SLIV_22220,hydrolase,D      SLIV_22220 hydrolase,"K01524 ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]",Metabolism,B  09104 Nucleotide metabolism
SLIV_34145,hypothetical protein,D      SLIV_34145 hypothetical protein,"K01524 ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]",Metabolism,B  09104 Nucleotide metabolism
SLIV_13735,cya; Adenylate cyclase,D      SLIV_13735 cya; Adenylate cyclase,K01768 E4.6.1.1; adenylate cyclase [EC:4.6.1.1],Metabolism,B  09104 Nucleotide metabolism
SLIV_20150,purA; Adenylosuccinate synthetase,D      SLIV_20150 purA; Adenylosuccinate synthetase,K01939 purA; adenylosuccinate synthase [EC:6.3.4.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_26915,adoK; Adenosine kinase,D      SLIV_26915 adoK; Adenosine kinase,K00856 ADK; adenosine kinase [EC:2.7.1.20],Metabolism,B  09104 Nucleotide metabolism
SLIV_02955,add2; Adenosine deaminase 2,D      SLIV_02955 add2; Adenosine deaminase 2,K01488 add; adenosine deaminase [EC:3.5.4.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_13870,add1; Adenosine deaminase 1,D      SLIV_13870 add1; Adenosine deaminase 1,K01488 add; adenosine deaminase [EC:3.5.4.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_15120,Putative adenosine/adenine deaminase 2,D      SLIV_15120 Putative adenosine/adenine deaminase 2,K01488 add; adenosine deaminase [EC:3.5.4.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_24955,Adenine deaminase,D      SLIV_24955 Adenine deaminase,K21053 ade; adenine deaminase [EC:3.5.4.2],Metabolism,B  09104 Nucleotide metabolism
SLIV_27635,nucleotidase,D      SLIV_27635 nucleotidase,"K01119 cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]",Metabolism,B  09104 Nucleotide metabolism
SLIV_14745,adk; Adenylate kinase,D      SLIV_14745 adk; Adenylate kinase,K00939 adk; adenylate kinase [EC:2.7.4.3],Metabolism,B  09104 Nucleotide metabolism
SLIV_07765,hypothetical protein,D      SLIV_07765 hypothetical protein,"K03651 cpdA; 3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]",Metabolism,B  09104 Nucleotide metabolism
SLIV_30125,HIT family protein,D      SLIV_30125 HIT family protein,K19710 E2.7.7.53; ATP adenylyltransferase [EC:2.7.7.53],Metabolism,B  09104 Nucleotide metabolism
SLIV_07640,adenylylsulfate kinase,D      SLIV_07640 adenylylsulfate kinase,K00860 cysC; adenylylsulfate kinase [EC:2.7.1.25],Metabolism,B  09104 Nucleotide metabolism
SLIV_07650,cysNC; Bifunctional enzyme CysN/CysC,D      SLIV_07650 cysNC; Bifunctional enzyme CysN/CysC,K00956 cysN; sulfate adenylyltransferase subunit 1 [EC:2.7.7.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_07645,mmcV; Sulfate adenylyltransferase subunit 2,D      SLIV_07645 mmcV; Sulfate adenylyltransferase subunit 2,K00957 cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_07080,uricase,D      SLIV_07080 uricase,K00365 uaZ; urate oxidase [EC:1.7.3.3],Metabolism,B  09104 Nucleotide metabolism
SLIV_07085,hydroxyisourate hydrolase,D      SLIV_07085 hydroxyisourate hydrolase,K07127 uraH; 5-hydroxyisourate hydrolase [EC:3.5.2.17],Metabolism,B  09104 Nucleotide metabolism
SLIV_07090,OHCU decarboxylase,D      SLIV_07090 OHCU decarboxylase,K16840 hpxQ; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97],Metabolism,B  09104 Nucleotide metabolism
SLIV_14080,hypothetical protein,D      SLIV_14080 hypothetical protein,K16840 hpxQ; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97],Metabolism,B  09104 Nucleotide metabolism
SLIV_01815,racemase,D      SLIV_01815 racemase,K16841 hpxA; allantoin racemase [EC:5.1.99.3],Metabolism,B  09104 Nucleotide metabolism
SLIV_06910,allB; Allantoinase,D      SLIV_06910 allB; Allantoinase,K01466 allB; allantoinase [EC:3.5.2.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_06905,alc; putative allantoicase,D      SLIV_06905 alc; putative allantoicase,K01477 alc; allantoicase [EC:3.5.3.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_10875,ureC2; Urease subunit alpha 2,D      SLIV_10875 ureC2; Urease subunit alpha 2,K01428 ureC; urease subunit alpha [EC:3.5.1.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_31625,ureC1; Urease subunit alpha 1,D      SLIV_31625 ureC1; Urease subunit alpha 1,K01428 ureC; urease subunit alpha [EC:3.5.1.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_31620,ureB; Urease subunit beta,D      SLIV_31620 ureB; Urease subunit beta,K01429 ureB; urease subunit beta [EC:3.5.1.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_31615,ureA; Urease subunit gamma,D      SLIV_31615 ureA; Urease subunit gamma,K01430 ureA; urease subunit gamma [EC:3.5.1.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_10880,ureAB; Urease subunit gamma/beta,D      SLIV_10880 ureAB; Urease subunit gamma/beta,K14048 ureAB; urease subunit gamma/beta [EC:3.5.1.5],Metabolism,B  09104 Nucleotide metabolism
00240 Pyrimi,dine metabolism [PATH:slv00240],C    00240 Pyrimidine metabolism [PATH:slv00240],,Metabolism,B  09104 Nucleotide metabolism
SLIV_30355,carB; Carbamoyl-phosphate synthase large cha,D      SLIV_30355 carB; Carbamoyl-phosphate synthase large chain,K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_30350,carA; Carbamoyl-phosphate synthase small cha,D      SLIV_30350 carA; Carbamoyl-phosphate synthase small chain,K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_30335,pyrB; Aspartate carbamoyltransferase,D      SLIV_30335 pyrB; Aspartate carbamoyltransferase,K00609 pyrB; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2],Metabolism,B  09104 Nucleotide metabolism
SLIV_30340,pyrC; Dihydroorotase,D      SLIV_30340 pyrC; Dihydroorotase,K01465 URA4; dihydroorotase [EC:3.5.2.3],Metabolism,B  09104 Nucleotide metabolism
SLIV_30360,pyrD; Dihydroorotate dehydrogenase (quinone),D      SLIV_30360 pyrD; Dihydroorotate dehydrogenase (quinone),K00254 DHODH; dihydroorotate dehydrogenase [EC:1.3.5.2],Metabolism,B  09104 Nucleotide metabolism
SLIV_20040,pyrE; Orotate phosphoribosyltransferase,D      SLIV_20040 pyrE; Orotate phosphoribosyltransferase,K00762 pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10],Metabolism,B  09104 Nucleotide metabolism
SLIV_30365,pyrF; Orotidine 5'-phosphate decarboxylase,D      SLIV_30365 pyrF; Orotidine 5'-phosphate decarboxylase,K01591 pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23],Metabolism,B  09104 Nucleotide metabolism
SLIV_10420,pyrH; Uridylate kinase,D      SLIV_10420 pyrH; Uridylate kinase,K09903 pyrH; uridylate kinase [EC:2.7.4.22],Metabolism,B  09104 Nucleotide metabolism
SLIV_24615,ndk; Nucleoside diphosphate kinase,D      SLIV_24615 ndk; Nucleoside diphosphate kinase,K00940 ndk; nucleoside-diphosphate kinase [EC:2.7.4.6],Metabolism,B  09104 Nucleotide metabolism
SLIV_13760,Maf-like protein,D      SLIV_13760 Maf-like protein,K06287 yhdE; nucleoside triphosphate pyrophosphatase [EC:3.6.1.-],Metabolism,B  09104 Nucleotide metabolism
SLIV_28860,pyrG; CTP synthase,D      SLIV_28860 pyrG; CTP synthase,K01937 pyrG; CTP synthase [EC:6.3.4.2],Metabolism,B  09104 Nucleotide metabolism
SLIV_28940,cmk; Cytidylate kinase,D      SLIV_28940 cmk; Cytidylate kinase,K00945 cmk; CMP/dCMP kinase [EC:2.7.4.25],Metabolism,B  09104 Nucleotide metabolism
SLIV_13830,ATP-binding protein,D      SLIV_13830 ATP-binding protein,K00876 udk; uridine kinase [EC:2.7.1.48],Metabolism,B  09104 Nucleotide metabolism
SLIV_17615,secreted 5'-nucleotidase,D      SLIV_17615 secreted 5'-nucleotidase,K01081 E3.1.3.5; 5'-nucleotidase [EC:3.1.3.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_23440,nagD; Ribonucleotide monophosphatase NagD,D      SLIV_23440 nagD; Ribonucleotide monophosphatase NagD,K02566 nagD; 5'-nucleotidase [EC:3.1.3.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_18200,upp; Uracil phosphoribosyltransferase,D      SLIV_18200 upp; Uracil phosphoribosyltransferase,K00761 upp; uracil phosphoribosyltransferase [EC:2.4.2.9],Metabolism,B  09104 Nucleotide metabolism
SLIV_30330,pyrR; Bifunctional protein PyrR,D      SLIV_30330 pyrR; Bifunctional protein PyrR,K02825 pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9],Metabolism,B  09104 Nucleotide metabolism
SLIV_27635,nucleotidase,D      SLIV_27635 nucleotidase,"K01119 cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]",Metabolism,B  09104 Nucleotide metabolism
SLIV_27860,psuG; Pseudouridine-5'-phosphate glycosidase,D      SLIV_27860 psuG; Pseudouridine-5'-phosphate glycosidase,K16329 psuG; pseudouridylate synthase [EC:4.2.1.70],Metabolism,B  09104 Nucleotide metabolism
SLIV_10225,cytidine deaminase,D      SLIV_10225 cytidine deaminase,K01489 cdd; cytidine deaminase [EC:3.5.4.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_13930,cytidine deaminase,D      SLIV_13930 cytidine deaminase,K01489 cdd; cytidine deaminase [EC:3.5.4.5],Metabolism,B  09104 Nucleotide metabolism
SLIV_15180,hydrolase,D      SLIV_15180 hydrolase,K01485 codA; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21],Metabolism,B  09104 Nucleotide metabolism
SLIV_19910,dcd; Deoxycytidine triphosphate deaminase,D      SLIV_19910 dcd; Deoxycytidine triphosphate deaminase,K01494 dcd; dCTP deaminase [EC:3.5.4.13],Metabolism,B  09104 Nucleotide metabolism
SLIV_09590,nrdJ; Vitamin B12-dependent ribonucleotide r,D      SLIV_09590 nrdJ; Vitamin B12-dependent ribonucleotide reductase,K00525 E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],Metabolism,B  09104 Nucleotide metabolism
SLIV_12230,ribonucleotide-diphosphate reductase large c,D      SLIV_12230 ribonucleotide-diphosphate reductase large chain,K00525 E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],Metabolism,B  09104 Nucleotide metabolism
SLIV_12235,"ribonucleoside-diphosphate reductase, beta s","D      SLIV_12235 ribonucleoside-diphosphate reductase, beta subunit",K00526 E1.17.4.1B; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1],Metabolism,B  09104 Nucleotide metabolism
SLIV_20575,integral membrane kinase,D      SLIV_20575 integral membrane kinase,K00943 tmk; dTMP kinase [EC:2.7.4.9],Metabolism,B  09104 Nucleotide metabolism
SLIV_09265,dut; Deoxyuridine 5'-triphosphate nucleotido,D      SLIV_09265 dut; Deoxyuridine 5'-triphosphate nucleotidohydrolase,K01520 dut; dUTP diphosphatase [EC:3.6.1.23],Metabolism,B  09104 Nucleotide metabolism
SLIV_13925,deoA; Thymidine phosphorylase,D      SLIV_13925 deoA; Thymidine phosphorylase,K00758 deoA; thymidine phosphorylase [EC:2.4.2.4],Metabolism,B  09104 Nucleotide metabolism
SLIV_09380,tdk; Thymidine kinase,D      SLIV_09380 tdk; Thymidine kinase,K00857 tdk; thymidine kinase [EC:2.7.1.21],Metabolism,B  09104 Nucleotide metabolism
SLIV_08540,hypothetical protein,D      SLIV_08540 hypothetical protein,K00560 thyA; thymidylate synthase [EC:2.1.1.45],Metabolism,B  09104 Nucleotide metabolism
SLIV_09920,thyX; Thymidylate synthase ThyX,D      SLIV_09920 thyX; Thymidylate synthase ThyX,K03465 thyX; thymidylate synthase (FAD) [EC:2.1.1.148],Metabolism,B  09104 Nucleotide metabolism
SLIV_06355,hyuA; D-hydantoinase,D      SLIV_06355 hyuA; D-hydantoinase,K01464 DPYS; dihydropyrimidinase [EC:3.5.2.2],Metabolism,B  09104 Nucleotide metabolism
SLIV_06360,hypothetical protein,D      SLIV_06360 hypothetical protein,K01431 UPB1; beta-ureidopropionase [EC:3.5.1.6],Metabolism,B  09104 Nucleotide metabolism
SLIV_06375,hydrolase,D      SLIV_06375 hydrolase,K01431 UPB1; beta-ureidopropionase [EC:3.5.1.6],Metabolism,B  09104 Nucleotide metabolism
SLIV_22335,allantoate amidohydrolase,D      SLIV_22335 allantoate amidohydrolase,K06016 pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87],Metabolism,B  09104 Nucleotide metabolism
SLIV_03570,Putative NADH dehydrogenase/NAD(P)H nitrored,D      SLIV_03570 Putative NADH dehydrogenase/NAD(P)H nitroreductase,K09019 rutE; 3-hydroxypropanoate dehydrogenase [EC:1.1.1.-],Metabolism,B  09104 Nucleotide metabolism
SLIV_13140,Putative NADH dehydrogenase/NAD(P)H nitrored,D      SLIV_13140 Putative NADH dehydrogenase/NAD(P)H nitroreductase,K09019 rutE; 3-hydroxypropanoate dehydrogenase [EC:1.1.1.-],Metabolism,B  09104 Nucleotide metabolism
,id metabolism,B  09105 Amino acid metabolism,,Metabolism,
,"e, aspartate and glutamate metabolism [PATH:s","C    00250 Alanine, aspartate and glutamate metabolism [PATH:slv00250]",,Metabolism,
SLIV_15115,aspC; Aspartate aminotransferase,D      SLIV_15115 aspC; Aspartate aminotransferase,K00812 aspB; aspartate aminotransferase [EC:2.6.1.1],Metabolism,B  09105 Amino acid metabolism
SLIV_20860,nadB; L-aspartate oxidase,D      SLIV_20860 nadB; L-aspartate oxidase,K00278 nadB; L-aspartate oxidase [EC:1.4.3.16],Metabolism,B  09105 Amino acid metabolism
SLIV_36010,"asparagine synthase, glutamine-hydrolyzing","D      SLIV_36010 asparagine synthase, glutamine-hydrolyzing",K01953 asnB; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4],Metabolism,B  09105 Amino acid metabolism
SLIV_07030,putative aspartate aminotransferase,D      SLIV_07030 putative aspartate aminotransferase,K14260 alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_13475,alaA; Glutamate-pyruvate aminotransferase Al,D      SLIV_13475 alaA; Glutamate-pyruvate aminotransferase AlaA,K14260 alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_28875,Alanine dehydrogenase,D      SLIV_28875 Alanine dehydrogenase,K00259 ald; alanine dehydrogenase [EC:1.4.1.1],Metabolism,B  09105 Amino acid metabolism
SLIV_04065,argG; Argininosuccinate synthase,D      SLIV_04065 argG; Argininosuccinate synthase,K01940 argG; argininosuccinate synthase [EC:6.3.4.5],Metabolism,B  09105 Amino acid metabolism
SLIV_29875,argH; Argininosuccinate lyase,D      SLIV_29875 argH; Argininosuccinate lyase,K01755 argH; argininosuccinate lyase [EC:4.3.2.1],Metabolism,B  09105 Amino acid metabolism
SLIV_20150,purA; Adenylosuccinate synthetase,D      SLIV_20150 purA; Adenylosuccinate synthetase,K01939 purA; adenylosuccinate synthase [EC:6.3.4.4],Metabolism,B  09105 Amino acid metabolism
SLIV_31520,adenylosuccinate lyase,D      SLIV_31520 adenylosuccinate lyase,K01756 purB; adenylosuccinate lyase [EC:4.3.2.2],Metabolism,B  09105 Amino acid metabolism
SLIV_30335,pyrB; Aspartate carbamoyltransferase,D      SLIV_30335 pyrB; Aspartate carbamoyltransferase,K00609 pyrB; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2],Metabolism,B  09105 Amino acid metabolism
SLIV_20690,Glutamate decarboxylase,D      SLIV_20690 Glutamate decarboxylase,K01580 E4.1.1.15; glutamate decarboxylase [EC:4.1.1.15],Metabolism,B  09105 Amino acid metabolism
SLIV_04075,aminotransferase,D      SLIV_04075 aminotransferase,K00823 puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19],Metabolism,B  09105 Amino acid metabolism
SLIV_06370,aminotransferase,D      SLIV_06370 aminotransferase,K00823 puuE; 4-aminobutyrate aminotransferase [EC:2.6.1.19],Metabolism,B  09105 Amino acid metabolism
SLIV_10245,gabT; 4-aminobutyrate aminotransferase,D      SLIV_10245 gabT; 4-aminobutyrate aminotransferase,K07250 gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48],Metabolism,B  09105 Amino acid metabolism
SLIV_04070,gabD; putative succinate-semialdehyde dehydr,D      SLIV_04070 gabD; putative succinate-semialdehyde dehydrogenase [NADP(+)],K00135 gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],Metabolism,B  09105 Amino acid metabolism
SLIV_14460,gabD2; Putative succinate-semialdehyde dehyd,D      SLIV_14460 gabD2; Putative succinate-semialdehyde dehydrogenase [NADP(+)],K00135 gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],Metabolism,B  09105 Amino acid metabolism
SLIV_31775,gabD1; Succinate-semialdehyde dehydrogenase,D      SLIV_31775 gabD1; Succinate-semialdehyde dehydrogenase [NADP(+)],K00135 gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],Metabolism,B  09105 Amino acid metabolism
SLIV_27580,gltB; Glutamate synthase [NADPH] large chain,D      SLIV_27580 gltB; Glutamate synthase [NADPH] large chain,K00265 gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13],Metabolism,B  09105 Amino acid metabolism
SLIV_27585,gltD; Glutamate synthase [NADPH] small chain,D      SLIV_27585 gltD; Glutamate synthase [NADPH] small chain,K00266 gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13],Metabolism,B  09105 Amino acid metabolism
SLIV_27830,Glutamate synthase [NADPH] small chain,D      SLIV_27830 Glutamate synthase [NADPH] small chain,K00266 gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13],Metabolism,B  09105 Amino acid metabolism
SLIV_22705,gdhB; NAD-specific glutamate dehydrogenase,D      SLIV_22705 gdhB; NAD-specific glutamate dehydrogenase,K15371 GDH2; glutamate dehydrogenase [EC:1.4.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_14920,gdh; NADP-specific glutamate dehydrogenase,D      SLIV_14920 gdh; NADP-specific glutamate dehydrogenase,K00262 E1.4.1.4; glutamate dehydrogenase (NADP+) [EC:1.4.1.4],Metabolism,B  09105 Amino acid metabolism
SLIV_10905,prnC; Delta-1-pyrroline-5-carboxylate dehydr,D      SLIV_10905 prnC; Delta-1-pyrroline-5-carboxylate dehydrogenase,K00294 E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88],Metabolism,B  09105 Amino acid metabolism
SLIV_04445,glutamine synthetase,D      SLIV_04445 glutamine synthetase,K01915 glnA; glutamine synthetase [EC:6.3.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_26515,putative glutamine synthetase 2,D      SLIV_26515 putative glutamine synthetase 2,K01915 glnA; glutamine synthetase [EC:6.3.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_26665,glnII; Glutamine synthetase 2,D      SLIV_26665 glnII; Glutamine synthetase 2,K01915 glnA; glutamine synthetase [EC:6.3.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_26725,glnA; Glutamine synthetase,D      SLIV_26725 glnA; Glutamine synthetase,K01915 glnA; glutamine synthetase [EC:6.3.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_29675,glutamine synthetase,D      SLIV_29675 glutamine synthetase,K01915 glnA; glutamine synthetase [EC:6.3.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_30355,carB; Carbamoyl-phosphate synthase large cha,D      SLIV_30355 carB; Carbamoyl-phosphate synthase large chain,K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5],Metabolism,B  09105 Amino acid metabolism
SLIV_30350,carA; Carbamoyl-phosphate synthase small cha,D      SLIV_30350 carA; Carbamoyl-phosphate synthase small chain,K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5],Metabolism,B  09105 Amino acid metabolism
SLIV_04005,glsA; Glutaminase,D      SLIV_04005 glsA; Glutaminase,K01425 glsA; glutaminase [EC:3.5.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_18035,purQ; Phosphoribosylformylglycinamidine synt,D      SLIV_18035 purQ; Phosphoribosylformylglycinamidine synthase 1,K23265 purQ; phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2],Metabolism,B  09105 Amino acid metabolism
SLIV_14660,glmS1; Glutamine-fructose-6-phosphate aminot,D      SLIV_14660 glmS1; Glutamine-fructose-6-phosphate aminotransferase [isomerizing],K00820 glmS; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16],Metabolism,B  09105 Amino acid metabolism
SLIV_23730,glmS2; Glutamine-fructose-6-phosphate aminot,D      SLIV_23730 glmS2; Glutamine-fructose-6-phosphate aminotransferase [isomerizing],K00820 glmS; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16],Metabolism,B  09105 Amino acid metabolism
SLIV_17995,purF; Amidophosphoribosyltransferase,D      SLIV_17995 purF; Amidophosphoribosyltransferase,K00764 purF; amidophosphoribosyltransferase [EC:2.4.2.14],Metabolism,B  09105 Amino acid metabolism
00260 Glycin,"e, serine and threonine metabolism [PATH:slv0","C    00260 Glycine, serine and threonine metabolism [PATH:slv00260]",,Metabolism,B  09105 Amino acid metabolism
SLIV_20220,ask; Aspartokinase,D      SLIV_20220 ask; Aspartokinase,K00928 lysC; aspartate kinase [EC:2.7.2.4],Metabolism,B  09105 Amino acid metabolism
SLIV_20225,asd1; Aspartate-semialdehyde dehydrogenase,D      SLIV_20225 asd1; Aspartate-semialdehyde dehydrogenase,K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],Metabolism,B  09105 Amino acid metabolism
